reward,pooling_nodes,dataset,num_layers,K,pooling_edges,seed,conv,id,pool
0.6974789915966386,0.4,DD,5,3,1,11,LiCheb,wMFo1,LookHops
0.632183908045977,0.4,FRANKENSTEIN,5,3,1,11,LiCheb,GXDXM,LookHops
0.7177615571776156,0.4,NCI1,5,3,1,11,LiCheb,U1bw6,LookHops
0.7415458937198067,0.4,NCI109,5,3,1,11,LiCheb,CaOD9,LookHops
0.735632183908046,0.4,Mutagenicity,5,3,1,11,LiCheb,d05xV,LookHops
0.38333333333333336,0.4,ENZYMES,5,3,1,11,LiCheb,yzrhv,LookHops
0.6413793103448275,0.4,FRANKENSTEIN,5,3,1,11,LiCheb,FVrFz,LookHops
0.7983193277310925,0.4,DD,5,3,1,22,LiCheb,b6YnO,LookHops
0.6344827586206897,0.4,FRANKENSTEIN,5,3,1,22,LiCheb,LZFFi,LookHops
0.7761557177615572,0.4,NCI1,5,3,1,22,LiCheb,H7kSQ,LookHops
0.6884057971014492,0.4,NCI109,5,3,1,22,LiCheb,Ishzc,LookHops
0.7402298850574712,0.4,Mutagenicity,5,3,1,22,LiCheb,xbT4Z,LookHops
0.38333333333333336,0.4,ENZYMES,5,3,1,22,LiCheb,JftAu,LookHops
0.6367816091954023,0.4,FRANKENSTEIN,5,3,1,22,LiCheb,pYoJj,LookHops
0.7142857142857143,0.4,DD,5,3,1,33,LiCheb,NvOnI,LookHops
0.6183908045977011,0.4,FRANKENSTEIN,5,3,1,33,LiCheb,Mj3o2,LookHops
0.7128953771289538,0.4,NCI1,5,3,1,33,LiCheb,OoGSw,LookHops
0.7391304347826086,0.4,NCI109,5,3,1,33,LiCheb,VNzzs,LookHops
0.7609195402298851,0.4,Mutagenicity,5,3,1,33,LiCheb,wXW4s,LookHops
0.21666666666666667,0.4,ENZYMES,5,3,1,33,LiCheb,Nf6Xi,LookHops
0.6114942528735632,0.4,FRANKENSTEIN,5,3,1,33,LiCheb,eKZXH,LookHops
0.8067226890756303,0.4,DD,5,3,1,44,LiCheb,uwIkh,LookHops
0.6114942528735632,0.4,FRANKENSTEIN,5,3,1,44,LiCheb,WfM4z,LookHops
0.7372262773722628,0.4,NCI1,5,3,1,44,LiCheb,qtyga,LookHops
0.7995169082125604,0.4,NCI109,5,3,1,44,LiCheb,cdRZC,LookHops
0.7586206896551724,0.4,Mutagenicity,5,3,1,44,LiCheb,zqOdX,LookHops
0.31666666666666665,0.4,ENZYMES,5,3,1,44,LiCheb,wiFD5,LookHops
0.6091954022988506,0.4,FRANKENSTEIN,5,3,1,44,LiCheb,HYNDl,LookHops
0.7226890756302521,0.4,DD,5,3,1,55,LiCheb,sQBZr,LookHops
0.6252873563218391,0.4,FRANKENSTEIN,5,3,1,55,LiCheb,WJQMc,LookHops
0.7518248175182481,0.4,NCI1,5,3,1,55,LiCheb,sUz2N,LookHops
0.7077294685990339,0.4,NCI109,5,3,1,55,LiCheb,H5PIt,LookHops
0.7310344827586207,0.4,Mutagenicity,5,3,1,55,LiCheb,XdGLY,LookHops
0.4166666666666667,0.4,ENZYMES,5,3,1,55,LiCheb,R3RjV,LookHops
0.6275862068965518,0.4,FRANKENSTEIN,5,3,1,55,LiCheb,jzmte,LookHops
0.7899159663865546,0.4,DD,5,3,1,66,LiCheb,js1TR,LookHops
0.6528735632183909,0.4,FRANKENSTEIN,5,3,1,66,LiCheb,hmZT8,LookHops
0.7250608272506083,0.4,NCI1,5,3,1,66,LiCheb,YvPy0,LookHops
0.7367149758454107,0.4,NCI109,5,3,1,66,LiCheb,mOiob,LookHops
0.7494252873563219,0.4,Mutagenicity,5,3,1,66,LiCheb,NzE5U,LookHops
0.35,0.4,ENZYMES,5,3,1,66,LiCheb,Zj7r7,LookHops
0.6528735632183909,0.4,FRANKENSTEIN,5,3,1,66,LiCheb,hsVgl,LookHops
0.7226890756302521,0.4,DD,5,3,1,77,LiCheb,HU4pT,LookHops
0.6436781609195402,0.4,FRANKENSTEIN,5,3,1,77,LiCheb,OUTDV,LookHops
0.7493917274939172,0.4,NCI1,5,3,1,77,LiCheb,LMdKj,LookHops
0.7391304347826086,0.4,NCI109,5,3,1,77,LiCheb,dNiyF,LookHops
0.7218390804597701,0.4,Mutagenicity,5,3,1,77,LiCheb,Nh2hh,LookHops
0.3333333333333333,0.4,ENZYMES,5,3,1,77,LiCheb,vfO4b,LookHops
0.6367816091954023,0.4,FRANKENSTEIN,5,3,1,77,LiCheb,AzCG9,LookHops
0.7983193277310925,0.4,DD,5,3,1,88,LiCheb,csaPy,LookHops
0.6344827586206897,0.4,FRANKENSTEIN,5,3,1,88,LiCheb,AZTBz,LookHops
0.7469586374695864,0.4,NCI1,5,3,1,88,LiCheb,uABvj,LookHops
0.7415458937198067,0.4,NCI109,5,3,1,88,LiCheb,wEJ4H,LookHops
0.7310344827586207,0.4,Mutagenicity,5,3,1,88,LiCheb,R1YwG,LookHops
0.31666666666666665,0.4,ENZYMES,5,3,1,88,LiCheb,nJDbD,LookHops
0.6344827586206897,0.4,FRANKENSTEIN,5,3,1,88,LiCheb,emFrZ,LookHops
0.773109243697479,0.4,DD,5,3,1,99,LiCheb,kkzVi,LookHops
0.6574712643678161,0.4,FRANKENSTEIN,5,3,1,99,LiCheb,TuXGZ,LookHops
0.6788321167883211,0.4,NCI1,5,3,1,99,LiCheb,IyTGS,LookHops
0.7463768115942029,0.4,NCI109,5,3,1,99,LiCheb,fTNmy,LookHops
